Projects,Researchers,Parent,Themes,Foci,Keywords,Methods,Disciplines,,* may become two projects
"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",,,,,,,,,† the final number of mini-essays won't be clear until much later in the writing/uploading process
Sharing the moment now,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
Showing the moment,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
Sharing moments as stories,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
Sharing life-in-the-moment,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
Taking a Narrative Stance,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
Rescripting Stories,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
Posting & Interacting with Selfies,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
Authenticity & the Move Away From Selfies,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
The social media curation of stories: Stories as a feature on Snapchat & Instagram,Alexandra Georgakopoulou,"Sharing-life-in-the-moment as small stories: Participation, social relations and the curation of selves",tbc,tbc,tbc,tbc,tbc,,
Talking Interfaces,Rebecca Roach,,tbc,tbc,tbc,tbc,tbc,,
Black Boxing,Rebecca Roach,,tbc,tbc,tbc,tbc,tbc,,
Identity Affordances & Online Platforms,Stijn Peeters,,tbc,tbc,tbc,tbc,tbc,,
"elf-Tracking Technologies and Social Media in Self-representation, performance and management of health",Rachael Kent,,tbc,tbc,tbc,tbc,tbc,,
Community surveillance,Rachael Kent,The Use of Self-Tracking Tech and Documenting Media in Self-Representation & Managing Health,tbc,tbc,tbc,tbc,tbc,,
Social media,Rachael Kent,The Use of Self-Tracking Tech and Documenting Media in Self-Representation & Managing Health,tbc,tbc,tbc,tbc,tbc,,
Self-representation,Rachael Kent,The Use of Self-Tracking Tech and Documenting Media in Self-Representation & Managing Health,tbc,tbc,tbc,tbc,tbc,,
Health identity,Rachael Kent,The Use of Self-Tracking Tech and Documenting Media in Self-Representation & Managing Health,tbc,tbc,tbc,tbc,tbc,,
Self-tracking,Rachael Kent,The Use of Self-Tracking Tech and Documenting Media in Self-Representation & Managing Health,tbc,tbc,tbc,tbc,tbc,,
Health quanitification,Rachael Kent,The Use of Self-Tracking Tech and Documenting Media in Self-Representation & Managing Health,tbc,tbc,tbc,tbc,tbc,,
What is health?,Rachael Kent,The Use of Self-Tracking Tech and Documenting Media in Self-Representation & Managing Health,tbc,tbc,tbc,tbc,tbc,,
“It has made me much warier of posting”,Lisa Gee,,tbc,video; interviews,tbc,tbc,tbc,,
